year,sample_event_date,sample_event_date_edb,sample_year,Nili_id,mb_id,edb_id,Movebank_study,mb_study,transm_id,deploy_on,deploy_off,no_tag_days,wing_tag,wing_tag_color,origin,birth_year,age_class,sex,location,wild_caged,result,pos_neg_1,speciesR,seq_quality,species1,homology,bases,species2,homology,bases,PCR_Number_oldtemp,Sample_Number,HyLab_Order,Primer,Date_Sent,Homology_1st_match,,Homology_2nd_match,,HyLab_Order,Primer,Date_Sent,Aligned_Homology,,Gel_Batch,pos_neg,remark,PCR_+_GEL_Number_(Miranda),Sample_Number,HyLab_Order,Primer,Date_Sent,Homology_1st_Match,,Homology_2nd_Match,,,Hylab_Order,Primer,Date_Sent,,,,
2021,13-Sep-21,2021-09-13,2021,kalogeros,E04w,E04w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213564,13-Sep-21,04-Apr-22,203,E04,white ,Wild,2021,juv,NA,Negev,wild,,pos,ud,*double,myco. syno,0.76,*double peaks,,,,20,SB13,480649,GPF_F,2021-05-23,vulturii,0.99,vulturii,0.99,,,,,,1,pos,,20,SB13,484751,MGSO_R,2021-06-23,myco. Syno HN01,0.76,myco. syno,0.76,*double peaks,486414,GPF_F,45023,myco. Syno NCTC,0.83,myco. Syno ATCC,0.83
2021,13-Sep-21,2021-09-13,2021,kilkenny,E03w,E03w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213556,13-Sep-21,26-Sep-21,13,E03,white ,Wild,2016,ad,m,Negev,wild,,pos,47802B,,Myco. 47802B,0.99,961/967,Mycoplasma sp. M222-5˜,0.99,954/960,14,SB22,480649,GPF_F,2021-05-23,myco. 47802B,0.99,myco. M222,0.99,,,,,,1,pos,,14,SB22,484751,MGSO_R,2021-06-23,Myco. 47802B,0.99,myco. M222-5,0.99,,,,,,,,
2021,13-Sep-21,2021-09-13,2021,bargal,E02w,E02w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213580,13-Sep-21,04-Oct-21,21,E02,white ,Wild,2017,ad,NA,Negev,wild,,pos,,high_temp,double peak,,,,,,2,SB10,479193,GPF_F,45174,nothing found,double peaks,,,,,,double peak,,1,pos,,3,SB10,,,,,,,,,,,,,,,
2021,07-Oct-21,2021-10-07,2021,kyllini,E01w,E01w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213586,07-Oct-21,,,E01,white ,Wild,2021,juv,m,Negev,wild,,pos,,,myco. Syno NCTC,0.87,,,,,myco. Syno HN01,0.87,myco. Syno NCTC,0.87,,,,,,,,,,,2,pos,,74,SB67,486414,MGSO_R,45023,myco. Syno HN01,0.87,myco. Syno NCTC,0.87,,,,,,,,
2021,13-Sep-21,2021-09-13,2021,thronos,E00w,E00w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213554,13-Sep-21,,,E00,white ,Wild,2021,juv,f,Negev,wild,,pos,myco_005,high_temp,myco. 005,0.99,,,,,1,SB12,479193,GPF_F,45174,myco. 005,0.99,myco 1449,0.99,479808,MGSO_R,2015-06-23,myco. 005,0.99,1,pos,,1,SB12,,,,,,,,,,,,,,,
2021,13-Sep-21,2021-09-13,2021,hippocrates,A75w,A75w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213565,13-Sep-21,,,A75 ,white ,Wild,2007,ad,NA,Negev,wild,,pos,,high_temp,Catellicoccus ,0.99,,,,,5,SB6,479193,GPF_F,45174,,,,,,,,Catellicoccus ,0.99,1,pos,,10,SB6,,,,,,,,,,,,,,,
2021,29-Sep-21,2021-09-29,2021,arthur,A58w,A58w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213578,29-Sep-21,,,A58,white,Wild,2020,sub,NA,Negev,wild,,pos,synovia,,mycoplasmopsis synovaie,0.99,,,,,,,,,,,,,,,,,,,1,pos,,38,SB42,481926,MGSO_R,45144,mycoplasmopsis synovaie,0.99,,,,,,,,,,
2021,07-Oct-21,2021-10-07,2021,kedros,A57w,A57w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213557,07-Oct-21,31-May-22,236,A57,white,Wild,2009,ad,f,Negev,wild,,pos,synovia,,myco. Syno HN01,0.99,,,,,myco. Syno HN01,0.99,myco. Syno NCTC,0.99,,,,,,,,,,,2,pos,,75,SB68,486414,MGSO_R,45023,myco. Syno HN01,0.99,myco. Syno NCTC,0.99,,,,,,,,
2021,29-Sep-21,2021-09-29,2021,plettenberg,A55w,A55w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213560,29-Sep-21,19-Oct-22,385,A55,white,Wild,2003,ad,m,Negev,wild,,pos,MV120BA,,myco. MV120BA,0.99,,myco. 48620KC,0.98,,,,,,,,,,,,,,,,1,pos,,45,SB55,487648,MGSO_R,2013-07-23,myco. MV120BA,0.99,myco. 48620KC,0.98,,,,,,,,
2021,07-Oct-21,2021-10-07,2021,kaolin,A52w,A52w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,202367,07-Oct-21,,,A52,white,Wild,2013,ad,NA,Negev,wild,,neg,,,,,,,,,,,,,,,,,,,,,,,2,neg,,62,SB75,,,,,,,,,,,,,,,
2021,13-Sep-21,2021-09-13,2021,pindus,A39w,A39w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213576,13-Sep-21,,,A39,white ,Wild,2021,juv,m,Negev,wild,,pos,vulturii,high_temp,vulturii,0.99,,,,,3,SB9,479193,GPF_F,45174,,,,,479808,MGSO_R,2015-06-23,vulturii,0.99,1,pos,,2,SB9,,,,,,,,,,,,,,,
2021,13-Sep-21,2021-09-13,2021,skala,A35w,A35w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213562,13-Sep-21,,,A35 ,white ,Wild,2021,juv,f,Negev,wild,,pos,vulturii,high_temp,vulturii,0.99,,,,,4,SB7,479193,GPF_F,45174,,,,,479808,MGSO_R,2015-06-23,vulturii,0.99,1,pos,,4,SB7,,,,,,,,,,,,,,,
2021,13-Sep-21,2021-09-13,2021,mitikas,A33w,A33w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213569,13-Sep-21,13-Oct-21,30,A33,white ,Wild,2020,sub,NA,Negev,wild,,pos,vulturii,high_temp,vulturii,0.99,,,,,7,SB4,479193,GPF_F,45174,,,,,479808,MGSO_R,2015-06-23,vulturii,0.99,1,pos,,7,SB4,,,,,,,,,,,,,,,
2021,13-Sep-21,2021-09-13,2021,fiver,A32w,A32w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213585,13-Sep-21,,,A32,white ,Wild,2005,ad,NA,Negev,wild,,pos,vulturii,high_temp,vulturii,0.99,,,,,9,SB2,479193,GPF_F,45174,,,,,479808,MGSO_R,2015-06-23,vulturii,0.99,1,pos,,8,SB2,,,,,,,,,,,,,,,
2021,13-Sep-21,2021-09-13,2021,neufneuf,A31w,A31w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213572,13-Sep-21,,,A31 ,white ,Wild,2021,juv,m,Negev,wild,,pos,vulturii,high_temp,vulturii,0.99,,,,,6,SB5,479193,GPF_F,45174,,,,,479808,MGSO_R,2015-06-23,vulturii,0.99,1,pos,,5,SB5,,,,,,,,,,,,,,,
2021,29-Sep-21,2021-09-29,2021,pamela,A29w,A29w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213584,29-Sep-21,,,A29,white,Wild,2007,ad,f,Negev,wild,,pos,,,myco. 005,0.76,,myco. 1449 ,0.76,,,,,,,,,,,,,,,,1,pos,,43,SB57,484751,MGSO_R,2021-06-23,myco. 005,0.76,myco. 1449 ,0.76,,486414,GPF_F,45023,vulturii ,0.77,vulturii,0.77
2021,29-Sep-21,2021-09-29,2021,cantata,A22w,A22w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213570,29-Sep-21,,,A22,white,Wild,2015,ad,NA,Negev,wild,,neg,,,,,,,,,,,,,,,,,,,62 sent ,,,,1,neg,,41,SB59,nanodrop too low - not sent ,,,,,,,,,,,,,,
2021,29-Sep-21,2021-09-29,2021,dome,A19w,A19w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213596,29-Sep-21,,,A19,white,Wild,2015,ad,f,Negev,wild,,pos,vulturii,,vulturii,0.91,,,,,,,,,,,,,,,,,,,1,pos,,39,SB41,481926,MGSO_R,45144,vulturii,0.91,,,,,,,,,,
2021,29-Sep-21,2021-09-29,2021,hasan,A16w,A16w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213566,29-Sep-21,,,A16,white,Wild,2016,ad,f,Negev,wild,,pos,vulturii,,vulturii,0.97,,vulturii,0.97,,,,,,,,,,,,,,,,2,pos,,82,SB53,486414,MGSO_R,45023,vulturii,0.97,vulturii,0.97,,,,,,,,
2021,29-Sep-21,2021-09-29,2021,hoeman,A10w,A10w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213583,29-Sep-21,,,A10,white,Wild,2003,ad,NA,Negev,wild,,neg,,,,,,,,,,,,,,,,,,,,,,,1,neg,,44,SB56,nanodrop too low - not sent ,,,,,,,,,,,,,,
2021,13-Sep-21,2021-09-13,2021,aizenberg,A08w,A08w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213559,13-Sep-21,07-Oct-21,24,A08,white ,Wild,2020,sub,NA,Negev,wild,,pos,myco_005,,myco. 005,0.99,952/953,myco. 1449,0.99,949/954,,SB14,,,,,,,,,,,,,2,pos,,47,SB14,486414,MGSO_R,45023,myco. 005,0.99,myco. 1449,0.99,,,,,,,,
2021,13-Sep-21,2021-09-13,2021,hava,A02w,A02w,Ornitela_Vultures_Gyps_fulvus_TAU_UCLA_Israel,,213579,13-Sep-21,01-Oct-21,18,A02,white ,Wild,2018,sub,NA,Negev,wild,,pos,myco_005,,myco. 005,0.99,938/940,myco. 1449,0.99,937/941,16,SB19,480649,GPF_F,2021-05-23,vulturii,0.99,vulturii,0.99,,,,,,1,pos,,16,SB19,484751,MGSO_R,2021-06-23,myco. 005,0.99,myco. 1449,0.99,,,,,,,,
